id,niqqudless,stressed,phrase,ind,phonikud:full,naturalreaders,google-translate,eleven-labs-v3-alpha
59,בנו,ב֫נו,"בהם שוררת סערה, ובנו שוכן שקט רגוע  עמוק.",19,FALSE,FALSE,FALSE,FALSE
60,בנו,ב֫נו,"בחוויות שהם חולקים בהם יש הרבה רעש, ואילו בחוויות שלנו ובנו יש שקט רב.",20,FALSE,FALSE,TRUE,TRUE
61,בנו,בנ֫ו,האדריכלים בנו את הבית במהירות ובמקצועיות רבה.,1,TRUE,TRUE,TRUE,TRUE
62,בנו,בנ֫ו,האחים בנו יחד צימר קטן ליד הנחל.,2,TRUE,TRUE,TRUE,TRUE
63,בנו,בנ֫ו,בנו עוד קומה בבניין כי כבר לא היה מקום.,3,TRUE,FALSE,FALSE,TRUE
64,בנו,בנ֫ו,בנו את התחנה הזו בשנות החמישים והיא עדיין פעילה.,4,TRUE,FALSE,TRUE,TRUE
65,בנו,בנ֫ו,המתנדבים בנו גשר עץ זמני כדי שנוכל לעבור.,5,TRUE,FALSE,TRUE,TRUE
66,בנו,בנ֫ו,לפני החורף בנו סככה חדשה לרכב.,6,TRUE,TRUE,TRUE,TRUE
67,בנו,בנ֫ו,בנו כיתה נוספת כי מספר התלמידים עלה.,7,TRUE,FALSE,TRUE,FALSE
68,בנו,בנ֫ו,המהנדסים בנו מערכת ניקוז חכמה במיוחד.,8,TRUE,FALSE,FALSE,TRUE
69,בנו,בנ֫ו,השכנים בנו גדר גבוהה בלי לשאול אף אחד.,9,TRUE,FALSE,TRUE,TRUE
70,בנו,בנ֫ו,"בנו את המגרש הזה לפני עשרים שנה, ומאז לא שיפצו אותו.",10,TRUE,FALSE,TRUE,FALSE
71,בנו,בנ֫ו,בנו גשר תלוי על מנת לחבר בין שני האזורים בעיר.,11,TRUE,FALSE,FALSE,TRUE
72,בנו,בנ֫ו,הם בנו אולם ספורט ענק ליד בית הספר התיכון.,12,TRUE,FALSE,TRUE,TRUE
73,בנו,בנ֫ו,בנו במה מאולתרת ממש ערב לפני ההופעה.,13,TRUE,FALSE,FALSE,TRUE
74,בנו,בנ֫ו,"הם בנו את העסק שלהם מאפס, בלי עזרה מאף אחד.",14,TRUE,FALSE,TRUE,TRUE
75,בנו,בנ֫ו,בנו את כל האזור הזה על חורבות של שכונה ישנה.,15,FALSE,FALSE,FALSE,TRUE
76,בנו,בנ֫ו,הילדים בנו סוכה לבד בלי עזרה של ההורים.,16,TRUE,FALSE,TRUE,TRUE
77,בנו,בנ֫ו,"כשבנו את הבית, עוד לא ידעו אם בכלל יגורו בו.",17,FALSE,FALSE,TRUE,TRUE
78,בנו,בנ֫ו,אף אחד לא האמין שבנו את כל זה רק בחודש אחד.,18,TRUE,TRUE,TRUE,TRUE
79,בנו,בנ֫ו,שכחו להשאיר גישה לנכים כשבנו את הכניסה הצדדית.,19,FALSE,TRUE,TRUE,TRUE
80,בנו,בנ֫ו,"השכנים כעסו ובנו גדר משלהם, גבוהה יותר.",20,TRUE,FALSE,FALSE,TRUE
81,גרושים,גר֫ושים,שילמתי על הקפה כמה גרושים וזה היה שווה כל אגורה.,1,FALSE,FALSE,FALSE,TRUE
82,גרושים,גר֫ושים,הוא מכר את הספרים הישנים שלו בגרושים.,2,FALSE,FALSE,FALSE,TRUE
83,גרושים,גר֫ושים,"קיבלתי תוספת של גרושים בתלוש, זה אפילו לא מורגש.",3,FALSE,TRUE,FALSE,TRUE
84,גרושים,גר֫ושים,לא משתלם לעבוד שעות נוספות בשביל גרושים.,4,FALSE,TRUE,FALSE,TRUE
85,גרושים,גר֫ושים,הוא בזבז את זמנו ואת כישרונו בשביל כמה גרושים.,5,FALSE,FALSE,FALSE,FALSE
86,גרושים,גר֫ושים,בשכונה הזו משכירים חדרים בגרושים יחסית למרכז העיר.,6,FALSE,FALSE,FALSE,TRUE
87,גרושים,גר֫ושים,השקענו הרבה זמן כדי לחסוך כמה גרושים מיותרים.,7,FALSE,FALSE,FALSE,TRUE
88,גרושים,גר֫ושים,בשוק אפשר למצוא בגדים במצב מצוין ממש בגרושים.,8,FALSE,FALSE,FALSE,FALSE
89,גרושים,גר֫ושים,"לא שווה לריב איתו בשביל גרושים, תן לו כבר.",9,FALSE,FALSE,FALSE,TRUE
90,גרושים,גר֫ושים,השקענו הרבה זמן כדי לחסוך כמה גרושים מיותרים.,10,FALSE,FALSE,FALSE,TRUE
91,גרושים,גרוש֫ים,ההורים שלי גרושים כבר חמש עשרה שנה ומסתדרים היטב.,1,TRUE,TRUE,TRUE,TRUE
92,גרושים,גרוש֫ים,קבוצת התמיכה מיועדת לגרושים וגרושות שמחפשים התחלה חדשה.,2,TRUE,TRUE,TRUE,TRUE
93,גרושים,גרוש֫ים,באירוע פגשתי כמה גרושים שדיברו על החיים אחרי הנישואין.,3,TRUE,TRUE,TRUE,TRUE
94,גרושים,גרוש֫ים,"הם גרושים כבר שנתיים, אבל עדיין מתווכחים על כל דבר.",4,TRUE,TRUE,TRUE,TRUE
95,גרושים,גרוש֫ים,רוב האנשים בקורס היו גרושים בגילאי ארבעים פלוס.,5,TRUE,TRUE,TRUE,TRUE
96,גרושים,גרוש֫ים,"אחרי שהם הפכו לגרושים, כל אחד מהם פנה לכיוון שונה לגמרי.",6,TRUE,TRUE,TRUE,TRUE
97,גרושים,גרוש֫ים,הגרושים החדשים לא תמיד מבינים מה מחכה להם.,7,TRUE,TRUE,TRUE,TRUE
98,גרושים,גרוש֫ים,אנחנו גרים בשכונה עם הרבה משפחות חד-הוריות וגרושים.,8,TRUE,TRUE,TRUE,TRUE
99,גרושים,גרוש֫ים,לגרושים חדשים מומלץ לפנות לייעוץ מקצועי כדי להקל על המעבר.,9,TRUE,TRUE,TRUE,TRUE
100,גרושים,גרוש֫ים,"לגרושים האלה יש ילדים משותפים, אז הם נפגשים די הרבה.",10,TRUE,TRUE,TRUE,TRUE
101,מיני,מ֫יני,המיני-קיט שברשותי כולל את כל האביזרים הדרושים.,1,TRUE,TRUE,TRUE,TRUE
102,מיני,מ֫יני,במסעדה הגישו מיני קרואסונים חמים.,2,FALSE,FALSE,FALSE,TRUE
103,מיני,מ֫יני,הם הציגו מיני-פרויקט במסגרת תערוכה מקומית.,3,TRUE,FALSE,FALSE,TRUE
104,מיני,מ֫יני,במסעדה הגישו מיני פיצות אישיות בטעמים שונים.,4,FALSE,FALSE,FALSE,TRUE
105,מיני,מ֫יני,"""מחופשים"" - מתפתחת כמיני סדרה מוצלחת בהחלט.",5,FALSE,FALSE,FALSE,FALSE
106,מיני,מ֫יני,למיני-סנטר הזעיר הזה יש שירות לקוחות אישי ומדויק.,6,FALSE,TRUE,FALSE,TRUE
107,מיני,מ֫יני,"וכשהוסיפו מיני-בר בסלון, האירוח הפך לאינטימי במיוחד.",7,TRUE,TRUE,FALSE,TRUE
108,מיני,מ֫יני,היא קנתה חצאית מיני מבד ג'ינס לארוחת ערב עם חברים.,8,TRUE,FALSE,FALSE,TRUE
109,מיני,מ֫יני,המחשב החדש מגיע עם מיני מקלדת אלחוטית קטנה.,9,TRUE,FALSE,FALSE,TRUE
110,מיני,מ֫יני,היא לבשה חצאית מיני ג'ינס עם כיסים גדולים כדי לשאת את הטלפון בנוחות.,10,TRUE,TRUE,FALSE,TRUE
111,מיני,מינ֫י,השיח המיני ביניהם הפך פתוח וכנה יותר עם הזמן.,1,TRUE,FALSE,FALSE,TRUE
112,מיני,מינ֫י,הם ניהלו שיחה פתוחה על הקשר המיני שלהם.,2,TRUE,FALSE,FALSE,TRUE
113,מיני,מינ֫י,"הם שוחחו כאילו כלום לא קורה, אך מבטהם הסגירו משהו כמיני.",3,TRUE,TRUE,TRUE,TRUE
114,מיני,מינ֫י,הם שמרו על קשר מיני בריא לאורך שנים.,4,TRUE,TRUE,TRUE,TRUE
115,מיני,מינ֫י,הקשר המיני התפתח עם הזמן לחיבור עמוק יותר.,5,TRUE,FALSE,FALSE,TRUE
116,מיני,מינ֫י,"הנושא היה מיני מובהק, אך הוצג בעדינות.",6,FALSE,TRUE,TRUE,TRUE
117,מיני,מינ֫י,בין השניים התפתח מתח מיני לא מדובר.,7,FALSE,TRUE,TRUE,TRUE
118,מיני,מינ֫י,"אחרי שנים של משיכה, הקשר הפך למיני.",8,TRUE,TRUE,TRUE,TRUE
119,מיני,מינ֫י,"הם בחרו להעמיק את הקשר, גם ברובד המיני.",9,TRUE,TRUE,FALSE,TRUE
120,מיני,מינ֫י,מאז אותו לילה היא הגדירה את הקשר בינהם - כמיני.,10,TRUE,TRUE,TRUE,FALSE
121,כופר,כ֫ופר,החוטפים דרשו מההורים כופר בתמורה לשחרור הילד.,1,TRUE,TRUE,TRUE,TRUE
122,כופר,כ֫ופר,"כשסירב לשלם את הכופר, נשרף העסק שלו בלילה.",2,TRUE,FALSE,TRUE,TRUE
123,כופר,כ֫ופר,"על פי החשד, נדרש כופר במיליונים כדי להשיב את הציוד.",3,TRUE,TRUE,TRUE,TRUE
124,כופר,כ֫ופר,המבריחים איימו לפגוע בו אם לא יועבר הכופר עד סוף היום.,4,TRUE,FALSE,TRUE,FALSE
125,כופר,כ֫ופר,"לאחר שכופר שולם, כל הצדדים חתמו על הסכם סופי.",5,TRUE,FALSE,TRUE,TRUE
126,כופר,כ֫ופר,בית המשפט אישר את תשלום הכופר בתנאים מחמירים.,6,TRUE,FALSE,TRUE,TRUE
127,כופר,כ֫ופר,הם החליטו לשלם כופר כדי למנוע עונש חמור יותר.,7,TRUE,TRUE,TRUE,TRUE
128,כופר,כ֫ופר,בכופר שנדרש היה סכום גבוה מהרגיל בתיקים מסוג זה.,8,TRUE,FALSE,TRUE,TRUE
129,כופר,כ֫ופר,לכופר שנגבה הייתה השפעה ישירה על המשך ההליכים.,9,TRUE,FALSE,TRUE,TRUE
130,כופר,כ֫ופר,"ואחרי תשלום כופר, נחתם ההסכם ונשמר בסודיות.",10,TRUE,TRUE,TRUE,TRUE
131,כופר,כופ֫ר,הם סירבו להושיב בכנסת אדם שכופר בעקרונות המדינה.,1,TRUE,TRUE,FALSE,TRUE
132,כופר,כופ֫ר,הדיון סבב סביב טענות שהועלו נגד כופר מהקהילה המקומית.,2,FALSE,FALSE,FALSE,TRUE
133,כופר,כופ֫ר,היא לא הצליחה להבין איך אפשר לדבר בשבחו של כופר מוצהר.,3,TRUE,FALSE,FALSE,TRUE
134,כופר,כופ֫ר,לכופר ניתנה הזדמנות להסביר את עמדותיו בפני המועצה.,4,TRUE,TRUE,FALSE,FALSE
135,כופר,כופ֫ר,"וכשכופר מתעקש להתבטא בפומבי, המחאה לא מאחרת לבוא.",5,TRUE,TRUE,FALSE,TRUE
136,כופר,כופ֫ר,שום ניסיון לשכנע את הכופר לא הצליח לשנות את דעתו.,6,TRUE,TRUE,FALSE,TRUE
137,כופר,כופ֫ר,"על אף שהוא נחשב לכופר, התייחסו אליו בכבוד יחסי.",7,TRUE,TRUE,FALSE,TRUE
138,כופר,כופ֫ר,הכופר המשיך להפיץ רעיונות שסתרו את המסורת המקומית.,8,FALSE,TRUE,FALSE,FALSE
139,כופר,כופ֫ר,אף אחד לא האמין שכופר ידוע יוזמן לטקס הדתי.,9,TRUE,TRUE,FALSE,TRUE
140,כופר,כופ֫ר,בדבריו של הכופר היו עקיצות כלפי הממסד הדתי.,10,TRUE,TRUE,FALSE,TRUE
141,אוכל,א֫וכל,במקרר נשאר רק אוכל מוכן מאתמול.,1,TRUE,TRUE,TRUE,TRUE
142,אוכל,א֫וכל,על שולחן העץ הונח אוכל טרי שחיממו זה עתה.,2,TRUE,TRUE,TRUE,TRUE
143,אוכל,א֫וכל,היא לא נגעה באוכל מרוב התרגשות.,3,TRUE,TRUE,TRUE,TRUE
144,אוכל,א֫וכל,לארוחת הצהריים הביאו אוכל פשוט אך טעים.,4,TRUE,TRUE,TRUE,TRUE
145,אוכל,א֫וכל,במקרה הזה אסור להשאיר אוכל בחוץ יותר מדי זמן.,5,TRUE,TRUE,TRUE,TRUE
146,אוכל,א֫וכל,מעדיף אוכל פשוט ולא מתוחכם.,6,TRUE,TRUE,TRUE,TRUE
147,אוכל,א֫וכל,לילדים חולקו מנות אוכל בצבעים שונים.,7,TRUE,TRUE,TRUE,TRUE
148,אוכל,א֫וכל,"עם כל המהומה, נשכח לגמרי האוכל על הכיריים.",8,TRUE,TRUE,TRUE,TRUE
149,אוכל,א֫וכל,לא תמיד יש זמן להכין אוכל ביתי.,9,TRUE,TRUE,TRUE,TRUE
150,אוכל,א֫וכל,ההורים שמחו לראות שילדיהם נהנים מהאוכל שהכינו.,10,TRUE,TRUE,TRUE,TRUE
151,אוכל,א֫וכל,מהאוכל עלו ריחות שהחזירו אותה לילדות.,11,TRUE,TRUE,TRUE,TRUE
152,אוכל,א֫וכל,מתחת לאוכל הסתתר פתק שהפתיע את כולם.,12,TRUE,TRUE,TRUE,TRUE
153,אוכל,א֫וכל,באוכל שהוזמן לא היה כמעט תיבול.,13,TRUE,TRUE,TRUE,TRUE
154,אוכל,א֫וכל,הוא מעדיף אוכל פשוט ולא מתוחכם.,14,TRUE,TRUE,TRUE,TRUE
155,אוכל,א֫וכל,בזמן ההפסקה חילקו אוכל לכל העובדים.,15,TRUE,TRUE,TRUE,TRUE
156,אוכל,א֫וכל,אחרי האימון הביאו אוכל עשיר בחלבון.,16,TRUE,TRUE,TRUE,TRUE
157,אוכל,א֫וכל,"כששאלו אותו, אמר שאוכל לא מעניין אותו בכלל.",17,TRUE,FALSE,TRUE,TRUE
158,אוכל,א֫וכל,היא סירבה לגעת באוכל שהוכן ללא רשותה.,18,TRUE,TRUE,TRUE,TRUE
159,אוכל,א֫וכל,"למרות העייפות, טרחה והכינה אוכל לכולם.",19,TRUE,TRUE,TRUE,TRUE
160,אוכל,א֫וכל,במטבח נותרו רק שאריות של אוכל מקולקל.,20,TRUE,TRUE,TRUE,TRUE
161,אוכל,אוכ֫ל,"אומר שהוא לא רעב, אבל אחר-כך אוכל את הכול.",1,TRUE,FALSE,FALSE,FALSE
162,אוכל,אוכ֫ל,"כשהוא עייף, גם אוכל פחות מהרגיל.",2,TRUE,FALSE,FALSE,TRUE
163,אוכל,אוכ֫ל,"וכשאוכל ליד אביו, הוא נזהר בכל תנועה.",3,TRUE,TRUE,FALSE,TRUE
164,אוכל,אוכ֫ל,הוא אוכל לאט כדי ליהנות מכל ביס.,4,TRUE,TRUE,FALSE,TRUE
165,אוכל,אוכ֫ל,"כשהאורחים מגיעים, מי שאוכל תמיד נהנה במיוחד.",5,TRUE,TRUE,FALSE,TRUE
166,אוכל,אוכ֫ל,מי שאוכל לאט מצליח להרגיש כל טעם טוב יותר.,6,TRUE,TRUE,FALSE,TRUE
167,אוכל,אוכ֫ל,כי מי שאוכל ארוחת בוקר מלאה יש לו יותר אנרגיה.,7,TRUE,FALSE,FALSE,TRUE
168,אוכל,אוכ֫ל,מי שאוכל מבלי להסתכל על הצלחת לעיתים מפספס פרטים.,8,TRUE,TRUE,FALSE,TRUE
169,אוכל,אוכ֫ל,"כשהוא אוכל לבד, מרגיש שהוא יכול להתרכז בכל ביס.",9,TRUE,TRUE,FALSE,TRUE
170,אוכל,אוכ֫ל,"ולמרות ששותה ואוכל מהר, הוא מצליח לשמור על הבריאות.",10,TRUE,TRUE,FALSE,TRUE
171,אוכל,אוכ֫ל,הוא שותה ואוכל באטיות כדי ליהנות מכל רגע.,11,TRUE,TRUE,FALSE,TRUE
172,אוכל,אוכ֫ל,הוא צופה בטלוויזיה ואוכל חטיפים בלי הפסקה.,12,TRUE,FALSE,FALSE,TRUE
173,אוכל,אוכ֫ל,"הוא מתעורר מוקדם, שותה קפה ואוכל ארוחת בוקר.",13,TRUE,TRUE,FALSE,TRUE
174,אוכל,אוכ֫ל,"למרות שהוא עייף, מתרכז ואוכל בשקט.",14,TRUE,FALSE,FALSE,FALSE
175,אוכל,אוכ֫ל,"כשהוא מטייל, הוא שותה ואוכל לפי הצורך.",15,TRUE,FALSE,FALSE,TRUE
176,אוכל,אוכ֫ל,"כשהוא אוכל מעט, היא לעיתים נוטה לא לאכול בכלל.",16,TRUE,FALSE,FALSE,TRUE
177,אוכל,אוכ֫ל,צפו כיצד שחקן העבר מגיב כשאוכל חטיף חריף במיוחד.,17,TRUE,TRUE,FALSE,TRUE
178,אוכל,אוכ֫ל,הוא מקיא בכל פעם שאוכל חריף מדי.,18,TRUE,TRUE,FALSE,TRUE
179,אוכל,אוכ֫ל,הוא מקבל תגובה אלרגית מיידית כשאוכל ביצים.,19,TRUE,TRUE,FALSE,TRUE
180,אוכל,אוכ֫ל,האדם הרעב מקנא באוכל.,20,FALSE,FALSE,FALSE,FALSE
181,טעם,ט֫עם,לטעם של התפוח יש ניחוח מיוחד שמזכיר את הקיץ.,1,TRUE,TRUE,TRUE,TRUE
182,טעם,ט֫עם,היא חיפשה טעם חדש ומרגש במנות של המסעדה.,2,TRUE,TRUE,TRUE,TRUE
183,טעם,ט֫עם,הטעם המריר של הקפה הערב השאיר רושם עמוק.,3,TRUE,TRUE,TRUE,TRUE
184,טעם,ט֫עם,בטעם של הרוטב יש עומק בלתי רגיל.,4,TRUE,TRUE,TRUE,TRUE
185,טעם,ט֫עם,הוא חיפש טעם חדש שמאתגר את החושים.,5,TRUE,TRUE,TRUE,TRUE
186,טעם,ט֫עם,לטעם המתוק היה חלק מרכזי בארוחה.,6,TRUE,TRUE,TRUE,TRUE
187,טעם,ט֫עם,הם נהנו מהטעם העשיר של התבשיל.,7,TRUE,TRUE,TRUE,TRUE
188,טעם,ט֫עם,טעם הפרי רענן ומזמין מאוד.,8,TRUE,TRUE,TRUE,TRUE
189,טעם,ט֫עם,הטעם החריף הוסיף עניין למנה.,9,TRUE,TRUE,TRUE,TRUE
190,טעם,ט֫עם,לטעם המר של הקפה יש ייחוד משלו.,10,TRUE,TRUE,TRUE,TRUE
191,טעם,ט֫עם,היא לא שכחה את הטעם של העוגה מהמסעדה.,11,TRUE,TRUE,TRUE,TRUE
192,טעם,ט֫עם,הטעם הייחודי גרם לה להזכר במקום רחוק.,12,TRUE,TRUE,TRUE,TRUE
193,טעם,ט֫עם,הוא העריך את הטעם העדין של הרוטב.,13,TRUE,TRUE,TRUE,TRUE
194,טעם,ט֫עם,לטעם המלוח יש מקום מיוחד בזיכרונותיו.,14,TRUE,TRUE,TRUE,TRUE
195,טעם,ט֫עם,הם דיברו על טעם האוכל במשך שעות.,15,TRUE,TRUE,TRUE,TRUE
196,טעם,ט֫עם,היא הביאה את הטעם הביתי למטבח החדש.,16,TRUE,TRUE,TRUE,TRUE
197,טעם,ט֫עם,טעם האוכל הזכיר לה את המסע שהייתה בו.,17,TRUE,TRUE,TRUE,TRUE
198,טעם,ט֫עם,הוא חשב על הטעם המיוחד שגילה בטיול.,18,TRUE,TRUE,TRUE,TRUE
199,טעם,ט֫עם,הטעם של התבלינים התחבר היטב עם הבשר.,19,TRUE,TRUE,TRUE,TRUE
200,טעם,ט֫עם,לטעם של התרופה הייתה השפעה לא נעימה על הילדים.,20,TRUE,TRUE,TRUE,TRUE
201,טעם,טע֫ם,הוא טעם את המרק לפני שהוסיף תבלינים.,1,TRUE,TRUE,TRUE,TRUE
202,טעם,טע֫ם,"כשטעם את הפירות, הבין שהם בשלים.",2,TRUE,FALSE,TRUE,TRUE
203,טעם,טע֫ם,חיוך התפשט על פניו כשטעם את הקינוח.,3,TRUE,FALSE,TRUE,TRUE
204,טעם,טע֫ם,מי שטעם את האוכל ומעריך את האיכות.,4,TRUE,TRUE,TRUE,TRUE
205,טעם,טע֫ם,הילד טעם לראשונה ממתק חריף ולא אהב את זה.,5,TRUE,FALSE,TRUE,TRUE
206,טעם,טע֫ם,"כשטעם את היין, נפתחה בפניו חוויה חדשה.",6,TRUE,FALSE,TRUE,TRUE
207,טעם,טע֫ם,לפני שהוסיף תבלינים טעם את המרק.,7,TRUE,FALSE,FALSE,TRUE
208,טעם,טע֫ם,יש מי שטעם ומעריך את האיכות של האוכל.,8,TRUE,TRUE,FALSE,TRUE
